date_key,year,quarter,quarter_name,month,month_name,year_month,year_quarter,week_of_year,day_of_week,is_weekend,is_month_end
2018-01-01,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,0,0,0
2018-01-02,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,1,0,0
2018-01-03,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,2,0,0
2018-01-04,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,3,0,0
2018-01-05,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,4,0,0
2018-01-06,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,5,1,0
2018-01-07,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,1,6,1,0
2018-01-08,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,0,0,0
2018-01-09,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,1,0,0
2018-01-10,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,2,0,0
2018-01-11,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,3,0,0
2018-01-12,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,4,0,0
2018-01-13,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,5,1,0
2018-01-14,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,2,6,1,0
2018-01-15,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,0,0,0
2018-01-16,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,1,0,0
2018-01-17,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,2,0,0
2018-01-18,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,3,0,0
2018-01-19,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,4,0,0
2018-01-20,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,5,1,0
2018-01-21,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,3,6,1,0
2018-01-22,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,0,0,0
2018-01-23,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,1,0,0
2018-01-24,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,2,0,0
2018-01-25,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,3,0,0
2018-01-26,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,4,0,0
2018-01-27,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,5,1,0
2018-01-28,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,4,6,1,0
2018-01-29,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,5,0,0,0
2018-01-30,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,5,1,0,0
2018-01-31,2018,1,Q1,1,Tháng 1,2018-01,2018Q1,5,2,0,1
2018-02-01,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,5,3,0,0
2018-02-02,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,5,4,0,0
2018-02-03,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,5,5,1,0
2018-02-04,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,5,6,1,0
2018-02-05,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,6,0,0,0
2018-02-06,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,6,1,0,0
2018-02-07,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,6,2,0,0
2018-02-08,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,6,3,0,0
2018-02-09,2018,1,Q1,2,Tháng 2,2018-02,2018Q1,6,4,0,0
