job_code,job_name,job_family,job_short_name,job_group_id,job_group_code,job_group_name,job_category,revenue_flag,sale_flag
MJ030M,Giám đốc Trung tâm Khách hàng Doanh nghiệp lớn (Ngân hàng Đối tác Chiến lược),"Kinh doanh, MKT và Sản phẩm",,JG03,HH,Head Hub,Bussiness,1,1
MK012M,Giám đốc Quản lý Khách hàng Doanh nghiệp lớn,"Kinh doanh, MKT và Sản phẩm",,JG05,TL,Teamlead,Bussiness,1,1
MJ019T,Giám đốc Khách hàng Doanh nghiệp lớn Cấp 3,"Kinh doanh, MKT và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ018T,Giám đốc Khách hàng Doanh nghiệp lớn Cấp 2,"Kinh doanh, MKT và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MJ017T,Giám đốc Khách hàng Doanh nghiệp lớn Cấp 1,"Kinh doanh, MKT và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
MK010S,Chuyên viên cao cấp Hỗ trợ Khách hàng Doanh nghiệp lớn,"Kinh doanh, MKT và Sản phẩm",,JG06,ARM,ARM,Bussiness,1,0
MK009S,Chuyên viên chính Hỗ trợ Khách hàng Doanh nghiệp lớn,"Kinh doanh, MKT và Sản phẩm",,JG06,ARM,ARM,Bussiness,1,0
MK010C,Chuyên viên Hỗ trợ Khách hàng Doanh nghiệp lớn,"Kinh doanh, MKT và Sản phẩm",,JG06,ARM,ARM,Bussiness,1,0
AA052C,Cộng tác viên,"Hành chính, Trang thiết bị & Thư ký",,JG01,BO,Back Office,Bussiness,0,0
BA013M,Giám đốc Trung tâm Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),Ngân hàng thương mại và tiêu dùng,,JG03,HH,Head Hub,Bussiness,1,1
MJ009M,Giám đốc Trung tâm Khách hàng Doanh nghiệp lớn (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG03,HH,Head Hub,Bussiness,1,1
BA016M,Giám đốc Siêu Trung tâm Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),Ngân hàng thương mại và tiêu dùng,,JG01,BO,Back Office,Bussiness,0,0
BA015M,Phó Giám đốc Trung tâm Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),Ngân hàng thương mại và tiêu dùng,,JG03,HH,Head Hub,Bussiness,1,1
FD500C,Nhân viên giao nhận Hồ sơ,Tài chính,,JG01,BO,Back Office,Bussiness,0,0
IC004E,Chuyên gia Quản trị Kiến trúc và Giải pháp Công nghệ Dự án Digital Corporation Core Banking,"Công nghệ, viễn thông và kết nối mạng",,JG01,BO,Back Office,Bussiness,0,0
KF005T,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 3 (Ngân hàng Đối tác Chiến lược),Thị trường vốn/Ngân hàng đầu tư,,JG01,BO,Back Office,Bussiness,0,0
KF006T,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 2 (Ngân hàng Đối tác Chiến lược),Thị trường vốn/Ngân hàng đầu tư,,JG01,BO,Back Office,Bussiness,0,0
KF007T,Giám đốc Bán hàng Ngân hàng Giao dịch Cấp 1 (Ngân hàng Đối tác Chiến lược),Thị trường vốn/Ngân hàng đầu tư,,JG01,BO,Back Office,Bussiness,0,0
LD010M,Giám đốc nghiệp vụ Kế Toán Dự án Digital Corporation Core Banking,"Pháp lý, Tuân thủ & Kiểm toán",,JG01,BO,Back Office,Bussiness,0,0
M00064,Chuyên viên chính Quan hệ Khách hàng Ngành,"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
M00107,Giám đốc Quan hệ Khách hàng Doanh nghiệp General Cấp 2 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
M00108,Giám đốc Quan hệ Khách hàng Doanh nghiệp General Cấp 1 (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
M00109,Chuyên viên chính Quan hệ Khách hàng Doanh nghiệp General (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
M00110,Chuyên viên Quan hệ Khách hàng Doanh nghiệp General (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG04,RM,RM,Bussiness,1,1
BA017M,Phó Giám đốc Siêu Trung tâm Khách hàng Doanh nghiệp (Ngân hàng Đối tác Chiến lược),Ngân hàng thương mại và tiêu dùng,,JG01,BO,Back Office,Bussiness,0,0
M00159,Giám đốc Kinh doanh Miền Nam (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
M00160,Chuyên gia Quản lý Kinh doanh (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
M00161,Chuyên gia Chất lượng dịch vụ và Kiểm soát tuân thủ (Ngân hàng Đối tác Chiến lược),Quản lý chất lượng,,JG01,BO,Back Office,Bussiness,0,0
M00162,Chuyên viên Chăm sóc khách hàng Kênh số (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00163,Giám đốc Thị trường và Tiềm năng khách hàng (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00164,Chuyên gia Thị trường và Tiềm năng khách hàng (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00165,Chuyên viên cao cấp Thị trường và Tiềm năng khách hàng (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00166,Chuyên viên chính Thị trường và Tiềm năng khách hàng (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00167,Chuyên viên Thị trường và Tiềm năng khách hàng (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
M00169,Chuyên viên Vùng Cấp 2 (Ngân hàng Đối tác Chiến lược),,,JG01,BO,Back Office,Bussiness,0,0
MH030E,Chuyên gia Giải pháp Tín dụng (EB),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH030M,Giám đốc Trung tâm Giải pháp (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH030S,Chuyên viên cao cấp Giải pháp Tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH031C,Chuyên viên Giải pháp Tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
MH031E,Chuyên gia Giải pháp Phi tín dụng (Ngân hàng Đối tác Chiến lược),"Quản lý Kinh doanh, Marketing và Sản phẩm",,JG01,BO,Back Office,Bussiness,0,0
