position_code,position_name,job_code,dept_code,reports_to_position_code,band,role_type,location_code,is_manager,status,job_group_code
1CN00279,Tổng Giám đốc Ngân hàng Đối tác Chiến lược,MM019D,01CN000025,1MK00001,Band 9,,HSC01,1,A,BO
1CN00321,Quyền Phó Tổng Giám đốc Ngân hàng Đối tác Chiến lược,MM020D,01CN000025,1CN00279,Band 8,,HSC01,1,A,BO
1CN00155,Giám đốc chuyển đổi Cấp 1,PB024M,01HO000001,1HO00002,Band 6,,HSC01,1,I,BO
1CN00313,Giám đốc chuyển đổi Cấp 2,PB025M,01HO000001,1CN00279,Band 7,,HSC01,1,I,BO
1CN00927,Giám đốc Trung tâm Khách hàng Lớn Cấp 2,MJ009M,01CN000028,1CN00279,Band 8,,HNO01,1,A,HH
1CN00274,Giám đốc Ngành,MJ003M,01CN000088,1CN00927,Band 7,,HNO01,1,I,BO
1CN00075,Chuyên gia Ngành Xây dựng - Vật liệu Xây dựng,MJ028E,01CN000088,1CN00274,Band 5,,HNO01,0,I,BO
1CN01122,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 3 Miền Bắc,MJ026E,01CN000047,1CN00407,Band 5,,HNO01,0,I,RM
1CN00631,Giám đốc Quan hệ khách hàng Doanh nghiệp lớn Ngành Cấp 2 Miền Bắc,MJ027E,01CN000047,1CN00407,Band 5,,HNO01,0,I,RM
1CN00680,Chuyên viên cao cấp Hỗ trợ Quan hệ khách hàng Doanh nghiệp lớn Ngành Miền Bắc,MK008S,01CN000047,1CN00407,Band 4,,HNO01,0,I,ARM
1CN00754,Giám đốc Phòng Quản lý Chất lượng Dịch vụ Miền Trung,MM016D,01CN000057,1CN00279,Band 7,,HNO01,1,A,HH
1CN00284,Giám đốc Kinh doanh Miền Bắc,MJ152M,01CN000057,1CN00754,Band 6,,HNO01,1,I,BO
1CN00815,Giám đốc Kinh doanh Miền Nam,MJ152M,01CN000057,1CN00754,Band 6,,HCM01,1,I,BO
1CN00828,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư Nước ngoài Cấp 3 Miền Bắc,MJ029E,01CN000057,1CN01288,Band 5,,HNO01,0,A,RM
1CN01331,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 2 Miền Bắc,MJ016E,01CN000057,1CN00681,Band 5,,HNO01,0,A,RM
1CN00253,Giám đốc Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Cấp 1 Miền Bắc,MJ017E,01CN000057,1CN00681,Band 4,,HNO01,0,A,RM
1CN00783,Giao phụ trách Trưởng nhóm Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư Nước ngoài Miền Bắc,MK001T,01CN000057,1CN00754,Band 4,,HNO01,0,A,ARM
1CN00495,Chuyên viên cao cấp Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Miền Bắc,MK012S,01CN000057,1CN00783,Band 4,,HNO01,0,A,ARM
1CN00716,Chuyên viên chính Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Miền Bắc,MK113S,01CN000057,1CN00783,Band 3,,HNO01,0,A,ARM
1CN01215,Chuyên viên Hỗ trợ Quan hệ Khách hàng Doanh nghiệp Vốn đầu tư nước ngoài Miền Bắc,MK118C,01CN000057,1CN00783,Band 2,,HNO01,0,A,ARM
1CN00043,Giám đốc Phân khúc Khách hàng Doanh nghiệp,MJ018M,01CN000063,1CN00279,Band 7,,HSC01,1,I,BO
1CN00546,Giám đốc Phân khúc Khách hàng Thương mại,MJ019M,01CN000045,1CN00043,Band 6,,HSC01,1,I,BO
1CN00632,Chuyên gia Phân khúc Khách hàng Thương mại,MJ019E,01CN000045,1CN00546,Band 5,,HSC01,0,I,BO
1CN01361,Chuyên viên cao cấp Phân khúc Khách hàng Thương mại,MJ019S,01CN000045,1CN00546,Band 4,,HSC01,0,I,BO
1CN00236,Chuyên viên chính Phân khúc Khách hàng Thương mại,MJ020S,01CN000045,1CN00546,Band 3,,HSC01,0,I,BO
1CN00844,Giám đốc Phân khúc Khách hàng Sản xuất,MJ021M,01CN000046,1CN00043,Band 6,,HSC01,1,I,BO
1CN00117,Chuyên gia Phân khúc Khách hàng Sản xuất,MJ020E,01CN000046,1CN00844,Band 5,,HSC01,0,I,BO
1CN00399,Chuyên viên cao cấp Phân khúc Khách hàng Sản xuất,MJ021S,01CN000046,1CN00844,Band 4,,HSC01,0,I,BO
1CN00233,Chuyên viên chính Phân khúc Khách hàng Sản xuất,MJ022S,01CN000046,1CN00844,Band 3,,HSC01,0,I,BO
1CN00676,Giám đốc Phân khúc Khách hàng Xây dựng,MJ022M,01CN000056,1CN00043,Band 6,,HSC01,1,I,BO
1CN01174,Chuyên gia Phân khúc Khách hàng Xây dựng,MJ021E,01CN000056,1CN00676,Band 5,,HSC01,0,I,BO
1CN01136,Chuyên viên cao cấp Phân khúc Khách hàng Xây dựng,MJ023S,01CN000056,1CN00676,Band 4,,HSC01,0,I,BO
1CN00135,Chuyên viên chính Phân khúc Khách hàng Xây dựng,MJ024S,01CN000056,1CN00676,Band 3,,HSC01,0,I,BO
1CN00101,Giám đốc Phân khúc Khách hàng Siêu nhỏ,MJ023M,01CN000007,1CN00043,Band 6,,HSC01,1,I,BO
1CN00655,Chuyên gia Phân khúc Khách hàng Siêu nhỏ,MJ023E,01CN000007,1CN00101,Band 5,,HSC01,0,I,BO
1CN00140,Chuyên viên cao cấp Phân khúc Khách hàng Siêu nhỏ,MJ025S,01CN000007,1CN00101,Band 4,,HSC01,0,I,BO
1CN00671,Chuyên viên chính Phân khúc Khách hàng Siêu nhỏ,MJ026S,01CN000007,1CN00101,Band 3,,HSC01,0,I,BO
1CN00660,Giám đốc Trung tâm Giải pháp,MH030M,01CN000082,1CN00279,Band 7,,HSC01,1,I,BO
1CN00842,Giám đốc Giải pháp Tín dụng,MH032M,01CN000013,1CN00330,Band 6,,HSC01,1,A,BO
1CN01326,Chuyên gia Giải pháp Tín dụng (EB),MH030E,01CN000013,1CN00842,Band 5,,HSC01,0,A,BO
1CN00023,Chuyên viên cao cấp Giải pháp Tín dụng,MH030S,01CN000013,1CN00842,Band 4,,HSC01,0,A,BO
1CN01102,Chuyên viên chính Giải pháp Tín dụng,MH031S,01CN000013,1CN00842,Band 3,,HSC01,0,A,BO
1CN01302,Chuyên viên Giải pháp Tín dụng,MH031C,01CN000013,1CN00842,Band 2,,HSC01,0,A,BO
1CN00584,Giám đốc Ban Giải pháp Ngân hàng Giao dịch,MH033M,01CN000018,1CN00660,Band 7,,HSC01,1,I,BO
1CN00851,Giám đốc Giải pháp Phi tín dụng,MH034M,01CN000064,1CN00330,Band 6,,HSC01,1,A,BO
1CN00916,Chuyên gia Giải pháp Phi tín dụng,MH031E,01CN000064,1CN00851,Band 5,,HSC01,0,A,BO
1CN00156,Chuyên viên cao cấp Giải pháp Phi tín dụng,MH040S,01CN000064,1CN00851,Band 4,,HSC01,0,A,BO
1CN00905,Chuyên viên chính Giải pháp Phi tín dụng,MH043S,01CN000064,1CN00851,Band 3,,HSC01,0,A,BO
1CN01034,Chuyên viên Giải pháp Phi tín dụng,MH044C,01CN000064,1CN00851,Band 2,,HSC01,0,A,BO
1CN00035,Giám đốc Giải pháp Kênh phi vật lý,MH036M,01CN000036,1CN00584,Band 6,,HSC01,1,I,BO
1CN00307,Chuyên gia Giải pháp Kênh phi vật lý,MH032E,01CN000036,1CN00035,Band 5,,HSC01,0,I,BO
1CN01281,Chuyên viên cao cấp Giải pháp Kênh phi vật lý,MH044S,01CN000036,1CN00035,Band 4,,HSC01,0,I,BO
1CN00534,Chuyên viên chính Giải pháp Kênh phi vật lý,MH047S,01CN000036,1CN00035,Band 3,,HSC01,0,I,BO
1CN00731,Chuyên viên Giải pháp Kênh phi vật lý,MH048C,01CN000036,1CN00035,Band 2,,HSC01,0,I,BO
1CN00713,Giám đốc Ban Khách hàng Chiến lược Khu vực 2,MH037M,01CN000087,1CN00851,Band 6,,HSC01,1,A,BO
