flight_risk_score_key,employee_id,snapshot_date,dept_code,band,employment_status,salary_gap_to_p50_pct,kpi_score,pay_freeze_months,tenure_months,months_since_last_move,seniority_risk_window_flag,risk_component_salary,risk_component_kpi,risk_component_promo,risk_component_freeze,risk_component_seniority,weight_salary_used,weight_kpi_used,weight_promo_used,weight_freeze_used,weight_seniority_used,missing_features,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band,reason_salary,reason_kpi,reason_promo,reason_freeze,reason_seniority
1,E000001,2021-01-01,01CN000087,Band 2,Active,-0.0792,59.8,0,37,37,False,0.132,0.17,0.3611,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,18.92,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 59.8/100,Lần đổi vai gần nhất cách đây 37 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 37 tháng)
2,E000001,2021-02-01,01CN000087,Band 2,Active,-0.0792,57.9,0,38,38,False,0.132,0.2017,0.3889,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,20.4,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 57.9/100,Lần đổi vai gần nhất cách đây 38 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 38 tháng)
3,E000001,2021-03-01,01CN000087,Band 2,Active,-0.0792,59.7,0,39,39,False,0.132,0.1717,0.4167,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,20.35,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 59.7/100,Lần đổi vai gần nhất cách đây 39 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 39 tháng)
4,E000001,2021-04-01,01CN000087,Band 2,Active,-0.0792,56.1,0,40,40,False,0.132,0.2317,0.4444,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,22.54,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 56.1/100,Lần đổi vai gần nhất cách đây 40 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 40 tháng)
5,E000001,2021-05-01,01CN000087,Band 2,Active,-0.0792,64.3,0,41,41,False,0.132,0.095,0.4722,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,19.82,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 64.3/100,Lần đổi vai gần nhất cách đây 41 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 41 tháng)
6,E000001,2021-06-01,01CN000087,Band 2,Active,-0.0792,54.2,0,42,42,False,0.132,0.2633,0.5,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.72,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 54.2/100,Lần đổi vai gần nhất cách đây 42 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 42 tháng)
7,E000001,2021-07-01,01CN000087,Band 2,Active,-0.0792,57.1,0,43,43,False,0.132,0.215,0.5278,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.21,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 57.1/100,Lần đổi vai gần nhất cách đây 43 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 43 tháng)
8,E000001,2021-08-01,01CN000087,Band 2,Active,-0.0792,62.5,0,44,44,False,0.132,0.125,0.5556,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,22.65,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 62.5/100,Lần đổi vai gần nhất cách đây 44 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 44 tháng)
9,E000001,2021-09-01,01CN000087,Band 2,Active,-0.0792,64.4,0,45,45,False,0.132,0.0933,0.5833,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,22.56,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 64.4/100,Lần đổi vai gần nhất cách đây 45 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 45 tháng)
10,E000001,2021-10-01,01CN000087,Band 2,Active,-0.0792,50.2,0,46,46,False,0.132,0.33,0.6111,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,29.17,Low,Lương thấp hơn P50 thị trường 7.9%,Điểm KPI 50.2/100,Lần đổi vai gần nhất cách đây 46 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 46 tháng)
