salary_snapshot_key,employee_id,snapshot_date,dept_code,band,base_salary,currency_code,market_p50,salary_gap_to_p50_pct,compa_ratio,is_pay_frozen,pay_freeze_months
1,E000001,2021-01-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
2,E000001,2021-02-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
3,E000001,2021-03-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
4,E000001,2021-04-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
5,E000001,2021-05-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
6,E000001,2021-06-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
7,E000001,2021-07-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
8,E000001,2021-08-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
9,E000001,2021-09-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
10,E000001,2021-10-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
11,E000001,2021-11-01,01CN000087,Band 2,13812072,VND,15000000,-0.0792,0.9208,False,0
12,E000001,2021-12-01,01CN000087,Band 2,13997716,VND,15000000,-0.0668,0.9332,False,0
13,E000001,2022-01-01,01CN000087,Band 2,13997716,VND,16050000,-0.1279,0.8721,False,0
14,E000001,2022-02-01,01CN000087,Band 2,13997716,VND,16050000,-0.1279,0.8721,False,0
15,E000001,2022-03-01,01CN000087,Band 2,13997716,VND,16050000,-0.1279,0.8721,False,0
16,E000001,2022-04-01,01CN000087,Band 2,13997716,VND,16050000,-0.1279,0.8721,False,0
17,E000001,2022-05-01,01CN000087,Band 2,13997716,VND,16050000,-0.1279,0.8721,False,0
18,E000002,2021-01-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
19,E000002,2021-02-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
20,E000002,2021-03-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
21,E000002,2021-04-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
22,E000002,2021-05-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
23,E000002,2021-06-01,01CN000010,Band 4,21754032,VND,24000000,-0.0936,0.9064,False,0
24,E000002,2021-07-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
25,E000002,2021-08-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
26,E000002,2021-09-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
27,E000002,2021-10-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
28,E000002,2021-11-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
29,E000002,2021-12-01,01CN000010,Band 4,23686092,VND,24000000,-0.0131,0.9869,False,0
30,E000002,2022-01-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
31,E000002,2022-02-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
32,E000002,2022-03-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
33,E000002,2022-04-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
34,E000002,2022-05-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
35,E000002,2022-06-01,01CN000010,Band 4,23686092,VND,25680000,-0.0776,0.9224,False,0
36,E000002,2022-07-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
37,E000002,2022-08-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
38,E000002,2022-09-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
39,E000002,2022-10-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
40,E000002,2022-11-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
41,E000002,2022-12-01,01CN000010,Band 4,24467228,VND,25680000,-0.0472,0.9528,False,0
42,E000002,2023-01-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
43,E000002,2023-02-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
44,E000002,2023-03-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
45,E000002,2023-04-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
46,E000002,2023-05-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
47,E000002,2023-06-01,01CN000010,Band 4,24467228,VND,27478000,-0.1096,0.8904,False,0
48,E000002,2023-07-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
49,E000002,2023-08-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
50,E000002,2023-09-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
51,E000002,2023-10-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
52,E000002,2023-11-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
53,E000002,2023-12-01,01CN000010,Band 4,25954615,VND,27478000,-0.0554,0.9446,False,0
54,E000002,2024-01-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
55,E000002,2024-02-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
56,E000002,2024-03-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
57,E000002,2024-04-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
58,E000002,2024-05-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
59,E000002,2024-06-01,01CN000010,Band 4,25954615,VND,29401000,-0.1172,0.8828,False,0
60,E000002,2024-07-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
61,E000002,2024-08-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
62,E000002,2024-09-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
63,E000002,2024-10-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
64,E000002,2024-11-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
65,E000002,2024-12-01,01CN000010,Band 4,28529027,VND,29401000,-0.0297,0.9703,False,0
66,E000002,2025-01-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
67,E000002,2025-02-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
68,E000002,2025-03-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
69,E000002,2025-04-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
70,E000002,2025-05-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
71,E000002,2025-06-01,01CN000010,Band 4,28529027,VND,31459000,-0.0931,0.9069,False,0
72,E000002,2025-07-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
73,E000002,2025-08-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
74,E000002,2025-09-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
75,E000002,2025-10-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
76,E000002,2025-11-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
77,E000002,2025-12-01,01CN000010,Band 4,29414852,VND,31459000,-0.065,0.935,False,0
78,E000003,2021-01-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
79,E000003,2021-02-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
80,E000003,2021-03-01,01CN000001,Band 5,28780565,VND,32000000,-0.1006,0.8994,False,0
