termination_key,employee_id,dept_code,termination_date,last_working_date,termination_type,termination_reason_code,is_regretted_loss,tenure_at_termination_months,band
1,E000001,01CN000087,2022-05-01,2022-05-01,Voluntary,CAREER_CHANGE,True,53,Band 2
2,E000003,01CN000001,2022-05-01,2022-05-01,Voluntary,RELOCATION,False,18,Band 5
3,E000004,01CN000037,2021-08-01,2021-08-01,Voluntary,COMPENSATION,False,59,Band 4
4,E000009,01CN000057,2023-05-01,2023-05-01,Voluntary,PERFORMANCE,False,41,Band 4
5,E000014,01CN000040,2025-05-01,2025-05-01,Voluntary,CAREER_CHANGE,False,56,Band 6
6,E000015,01CN000073,2024-02-01,2024-02-01,Involuntary,OTHER,True,63,K
7,E000019,01CN000031,2022-10-01,2022-10-01,Voluntary,PERSONAL,False,105,Band 3
8,E000022,01CN000074,2021-07-01,2021-07-01,Involuntary,PERSONAL,True,19,Band 4
9,E000026,01CN000041,2021-08-01,2021-08-01,Involuntary,PERSONAL,False,21,Band 5
10,E000034,01CN000057,2021-07-01,2021-07-01,Involuntary,CAREER_CHANGE,True,43,Band 4
11,E000038,01CN000054,2024-10-01,2024-10-01,Voluntary,RELOCATION,True,53,Band 4
12,E000045,01CN000041,2022-04-01,2022-04-01,Voluntary,PERFORMANCE,False,33,Band 3
13,E000046,01CN000031,2022-01-01,2022-01-01,Voluntary,PERFORMANCE,False,17,Band 4
14,E000052,01CN000010,2025-05-01,2025-05-01,Involuntary,COMPENSATION,True,111,Band 3
15,E000053,01CN000070,2022-11-01,2022-11-01,Voluntary,PERSONAL,False,75,Band 3
16,E000059,01CN000057,2021-07-01,2021-07-01,Voluntary,RELOCATION,False,29,Band 5
17,E000062,01CN000074,2024-10-01,2024-10-01,Voluntary,PERSONAL,False,47,Band 4
18,E000066,01QT000010,2021-06-01,2021-06-01,Voluntary,OTHER,False,7,Band 2
19,E000067,01QT000023,2025-02-01,2025-02-01,Voluntary,PERSONAL,True,113,Band 5
20,E000069,01CN000033,2021-11-01,2021-11-01,Voluntary,PERSONAL,False,19,Band 6
21,E000070,01CN000041,2024-05-01,2024-05-01,Voluntary,CAREER_CHANGE,True,81,K
22,E000072,01QT000010,2022-09-01,2022-09-01,Voluntary,RELOCATION,False,83,Band 3
23,E000077,01CN000010,2024-10-01,2024-10-01,Voluntary,PERFORMANCE,True,147,Band 4
24,E000081,01CN000073,2023-07-01,2023-07-01,Voluntary,COMPENSATION,False,69,Band 3
25,E000087,01CN000028,2021-07-01,2021-07-01,Involuntary,PERFORMANCE,True,18,Band 7
26,E000088,01CN000057,2021-02-01,2021-02-01,Voluntary,RELOCATION,True,24,Band 4
27,E000089,01CN000061,2025-11-01,2025-11-01,Voluntary,PERSONAL,False,120,Band 3
28,E000090,01CN000065,2021-08-01,2021-08-01,Voluntary,RELOCATION,False,26,Band 6
29,E000097,01CN000071,2025-08-01,2025-08-01,Voluntary,CAREER_CHANGE,False,64,Band 2
30,E000098,01CN000057,2021-06-01,2021-06-01,Voluntary,COMPENSATION,True,23,Band 7
31,E000100,01QT000010,2023-05-01,2023-05-01,Voluntary,RELOCATION,True,53,Band 2
32,E000101,01CN000010,2021-07-01,2021-07-01,Voluntary,RELOCATION,True,18,Band 6
33,E000103,01CN000023,2025-10-01,2025-10-01,Voluntary,COMPENSATION,False,79,Band 2
34,E000105,01CN000073,2025-10-01,2025-10-01,Involuntary,OTHER,False,183,Band 4
35,E000107,01CN000057,2021-11-01,2021-11-01,Voluntary,CAREER_CHANGE,True,39,Band 5
36,E000109,01CN000060,2025-12-01,2025-12-01,Involuntary,PERSONAL,True,117,Band 4
37,E000114,01CN000061,2025-03-01,2025-03-01,Voluntary,OTHER,False,80,Band 4
38,E000117,01CN000040,2025-05-01,2025-05-01,Voluntary,CAREER_CHANGE,False,63,Band 4
39,E000118,01CN000023,2022-03-01,2022-03-01,Voluntary,PERFORMANCE,False,24,Band 4
40,E000121,01CN000086,2021-04-01,2021-04-01,Voluntary,RELOCATION,True,24,Band 4
41,E000127,01CN000073,2025-03-01,2025-03-01,Voluntary,CAREER_CHANGE,False,190,Band 4
42,E000128,01CN000025,2023-12-01,2023-12-01,Voluntary,OTHER,True,164,Band 9
43,E000129,01CN000076,2023-08-01,2023-08-01,Involuntary,OTHER,True,55,K
44,E000130,01CN000061,2024-03-01,2024-03-01,Voluntary,RELOCATION,False,50,Band 4
45,E000132,01CN000072,2022-03-01,2022-03-01,Voluntary,OTHER,False,30,Band 4
46,E000133,01QT000005,2023-08-01,2023-08-01,Involuntary,PERFORMANCE,False,56,Band 3
47,E000137,01CN000069,2022-05-01,2022-05-01,Voluntary,PERSONAL,False,35,Band 3
48,E000139,01CN000076,2022-09-01,2022-09-01,Involuntary,OTHER,True,54,Band 6
49,E000140,01CN000025,2021-02-01,2021-02-01,Voluntary,PERFORMANCE,True,18,Band 2
50,E000144,01CN000012,2022-01-01,2022-01-01,Voluntary,COMPENSATION,False,136,Band 2
51,E000145,01CN000085,2023-06-01,2023-06-01,Involuntary,RELOCATION,False,48,Band 4
52,E000150,01QT000022,2021-09-01,2021-09-01,Involuntary,RELOCATION,False,12,Band 4
53,E000153,01CN000020,2021-04-01,2021-04-01,Voluntary,PERSONAL,True,27,Band 4
54,E000154,01CN000012,2022-09-01,2022-09-01,Voluntary,PERSONAL,False,206,Band 3
55,E000155,01CN000031,2021-07-01,2021-07-01,Voluntary,PERSONAL,False,101,Band 4
56,E000156,01CN000079,2021-05-01,2021-05-01,Voluntary,PERFORMANCE,True,8,Band 4
57,E000157,01CN000078,2021-08-01,2021-08-01,Involuntary,OTHER,False,24,Band 4
58,E000159,01CN000065,2021-11-01,2021-11-01,Voluntary,COMPENSATION,False,19,Band 4
59,E000161,01CN000068,2023-05-01,2023-05-01,Involuntary,COMPENSATION,False,35,Band 4
60,E000162,01CN000010,2021-05-01,2021-05-01,Involuntary,PERFORMANCE,False,7,Band 3
61,E000164,01CN000086,2021-06-01,2021-06-01,Involuntary,RELOCATION,True,47,Band 7
62,E000165,01CN000053,2023-07-01,2023-07-01,Voluntary,COMPENSATION,True,46,Band 5
63,E000166,01CN000053,2023-07-01,2023-07-01,Voluntary,OTHER,False,44,Band 5
64,E000168,01QT000013,2022-05-01,2022-05-01,Voluntary,PERFORMANCE,False,34,Band 4
65,E000171,01CN000080,2021-07-01,2021-07-01,Voluntary,PERFORMANCE,False,12,Band 4
66,E000173,01CN000072,2025-10-01,2025-10-01,Voluntary,PERFORMANCE,True,70,Band 4
67,E000175,01QT000012,2022-10-01,2022-10-01,Voluntary,COMPENSATION,False,37,Band 2
68,E000179,01CN000041,2025-02-01,2025-02-01,Voluntary,OTHER,False,80,Band 3
69,E000181,01CN000033,2023-11-01,2023-11-01,Voluntary,COMPENSATION,False,117,Band 4
70,E000184,01CN000028,2021-10-01,2021-10-01,Voluntary,PERSONAL,True,14,Band 4
71,E000186,01CN000001,2021-05-01,2021-05-01,Voluntary,CAREER_CHANGE,False,64,Band 6
72,E000190,01CN000008,2022-03-01,2022-03-01,Voluntary,RELOCATION,True,25,Band 3
73,E000195,01CN000085,2021-10-01,2021-10-01,Voluntary,RELOCATION,False,18,Band 6
74,E000198,01CN000077,2023-06-01,2023-06-01,Voluntary,PERSONAL,False,81,Band 7
75,E000199,01CN000054,2025-04-01,2025-04-01,Voluntary,PERSONAL,False,79,Band 4
76,E000200,01CN000073,2023-11-01,2023-11-01,Voluntary,PERSONAL,True,56,Band 4
77,E000204,01CN000068,2025-02-01,2025-02-01,Voluntary,RELOCATION,False,77,Band 2
78,E000206,01CN000080,2021-07-01,2021-07-01,Involuntary,PERSONAL,True,23,Band 4
79,E000208,01CN000080,2021-09-01,2021-09-01,Involuntary,OTHER,False,25,Band 4
80,E000209,01CN000060,2022-01-01,2022-01-01,Voluntary,PERFORMANCE,False,24,Band 4
81,E000211,01CN000069,2024-10-01,2024-10-01,Voluntary,CAREER_CHANGE,False,49,Band 3
82,E000213,01CN000078,2023-02-01,2023-02-01,Voluntary,CAREER_CHANGE,False,26,Band 5
83,E000214,01CN000042,2025-08-01,2025-08-01,Involuntary,PERFORMANCE,True,137,Band 3
84,E000219,01CN000064,2025-05-01,2025-05-01,Voluntary,COMPENSATION,True,127,Band 6
85,E000226,01CN000025,2025-01-01,2025-01-01,Voluntary,OTHER,False,61,Band 3
86,E000228,01CN000048,2024-12-01,2024-12-01,Voluntary,OTHER,False,99,Band 5
87,E000230,01CN000040,2023-12-01,2023-12-01,Voluntary,OTHER,False,74,Band 4
88,E000235,01CN000010,2022-02-01,2022-02-01,Voluntary,PERSONAL,False,143,Band 4
89,E000238,01QT000005,2023-01-01,2023-01-01,Voluntary,PERFORMANCE,False,30,Band 3
90,E000240,01CN000037,2022-07-01,2022-07-01,Voluntary,PERSONAL,True,61,Band 4
91,E000241,01CN000003,2021-02-01,2021-02-01,Involuntary,RELOCATION,True,83,Band 3
92,E000242,01CN000028,2025-01-01,2025-01-01,Voluntary,RELOCATION,False,65,Band 5
93,E000243,01CN000008,2025-06-01,2025-06-01,Voluntary,RELOCATION,False,66,Band 3
94,E000247,01CN000022,2023-02-01,2023-02-01,Involuntary,RELOCATION,True,26,Band 3
95,E000254,01CN000085,2023-12-01,2023-12-01,Voluntary,RELOCATION,False,93,Band 4
96,E000256,01CN000057,2022-06-01,2022-06-01,Voluntary,COMPENSATION,True,49,Band 4
97,E000260,01CN000069,2025-10-01,2025-10-01,Voluntary,RELOCATION,False,60,Band 3
98,E000262,01CN000054,2023-06-01,2023-06-01,Voluntary,RELOCATION,False,125,Band 5
99,E000264,01QT000010,2025-03-01,2025-03-01,Voluntary,PERSONAL,False,105,Band 5
100,E000269,01CN000076,2021-09-01,2021-09-01,Voluntary,PERSONAL,False,35,Band 3
101,E000274,01CN000002,2025-05-01,2025-05-01,Voluntary,CAREER_CHANGE,False,101,Band 3
102,E000275,01QT000018,2024-04-01,2024-04-01,Voluntary,PERFORMANCE,False,183,Band 3
