workforce_snapshot_key,snapshot_date,employee_id,dept_code,job_code,band,manager_employee_id,employment_status,hire_date,tenure_months,months_since_last_move,last_move_date,seniority_risk_window_flag,seniority_risk_window_label,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band
1,2021-01-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,37,37,2017-12-01,False,,0,False,,18.92,Low
2,2021-02-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,38,38,2017-12-01,False,,0,False,,20.4,Low
3,2021-03-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,39,39,2017-12-01,False,,0,False,,20.35,Low
4,2021-04-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,40,40,2017-12-01,False,,0,False,,22.54,Low
5,2021-05-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,41,41,2017-12-01,False,,0,False,,19.82,Low
6,2021-06-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,42,42,2017-12-01,False,,0,False,,24.72,Low
7,2021-07-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,43,43,2017-12-01,False,,0,False,,24.21,Low
8,2021-08-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,44,44,2017-12-01,False,,0,False,,22.65,Low
9,2021-09-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,45,45,2017-12-01,False,,0,False,,22.56,Low
10,2021-10-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,46,46,2017-12-01,False,,0,False,,29.17,Low
11,2021-11-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,47,47,2017-12-01,False,,0,False,,24.82,Low
12,2021-12-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,48,48,2017-12-01,False,,0,False,,21.23,Low
13,2022-01-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,49,49,2017-12-01,False,,0,False,,30.04,Low
14,2022-02-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,50,50,2017-12-01,False,,0,False,,27.24,Low
15,2022-03-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,51,51,2017-12-01,False,,0,False,,32.18,Low
16,2022-04-01,E000001,01CN000087,MH049C,Band 2,E001818,Active,2017-12-01,52,52,2017-12-01,False,,0,False,,28.87,Low
17,2022-05-01,E000001,01CN000087,MH049C,Band 2,E001818,Terminated,2017-12-01,53,53,2017-12-01,False,,0,False,,32.03,Low
18,2021-01-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,6,6,2020-07-01,False,,0,False,,10.54,Low
19,2021-02-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,7,7,2020-07-01,False,,0,False,,6.87,Low
20,2021-03-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,8,8,2020-07-01,False,,0,False,,8.29,Low
21,2021-04-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,9,9,2020-07-01,False,,0,False,,6.12,Low
22,2021-05-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,10,10,2020-07-01,False,,0,False,,6.12,Low
23,2021-06-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,11,11,2020-07-01,True,12M_ANNIVERSARY,0,False,,14.12,Low
24,2021-07-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,12,12,2020-07-01,True,12M_ANNIVERSARY,0,False,,15.25,Low
25,2021-08-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,13,13,2020-07-01,True,12M_ANNIVERSARY,0,False,,13.63,Low
26,2021-09-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,14,14,2020-07-01,False,,0,False,,8.34,Low
27,2021-10-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,15,15,2020-07-01,False,,0,False,,8.05,Low
28,2021-11-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,16,16,2020-07-01,False,,0,False,,9.21,Low
29,2021-12-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,17,17,2020-07-01,True,18M_ANNIVERSARY,0,False,,19.0,Low
30,2022-01-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,18,18,2020-07-01,True,18M_ANNIVERSARY,0,False,,14.91,Low
31,2022-02-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,19,19,2020-07-01,True,18M_ANNIVERSARY,0,False,,20.49,Low
32,2022-03-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,20,20,2020-07-01,False,,0,False,,9.16,Low
33,2022-04-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,21,21,2020-07-01,False,,0,False,,11.16,Low
34,2022-05-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,22,22,2020-07-01,False,,0,False,,12.41,Low
35,2022-06-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,23,23,2020-07-01,False,,0,False,,11.58,Low
36,2022-07-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,24,24,2020-07-01,False,,0,False,,8.85,Low
37,2022-08-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,25,25,2020-07-01,False,,0,False,,9.04,Low
38,2022-09-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,26,26,2020-07-01,False,,0,False,,8.99,Low
39,2022-10-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,27,27,2020-07-01,False,,0,False,,9.72,Low
40,2022-11-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,28,28,2020-07-01,False,,0,False,,9.46,Low
41,2022-12-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,29,29,2020-07-01,False,,0,False,,10.82,Low
42,2023-01-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,30,30,2020-07-01,False,,0,False,,17.37,Low
43,2023-02-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,31,31,2020-07-01,False,,0,False,,14.65,Low
44,2023-03-01,E000002,01CN000010,MJ011M,Band 4,E000870,Active,2020-07-01,32,32,2020-07-01,False,,0,False,,14.18,Low
